Gender,Fate,Age
w,0.0,42.0
w,0.0,32.0
m,,36.0
w,,63.0
m,,70.0
m,,57.0
m,,67.0
w,,44.0
m,0.0,53.0
w,0.0,63.0
m,1.0,32.0
w,,49.0
w,,52.0
m,0.0,48.0
m,,62.0
m,0.0,58.0
w,,63.0
w,0.0,57.0
m,0.0,49.0
w,,52.0
w,1.0,23.0
m,,29.0
w,1.0,39.0
m,,6.0
m,,13.0
m,,31.0
m,,10.0
m,0.0,26.0
m,,40.0
m,0.0,18.0
w,,34.0
m,,42.0
m,,7.0
m,0.0,63.0
m,0.0,48.0
w,0.0,55.0
m,0.0,41.0
m,0.0,30.0
m,,38.0
w,,14.0
m,1.0,32.0
m,,12.0
m,,46.0
w,,41.0
m,0.0,40.0
m,,45.0
m,,12.0
w,,35.0
m,,50.0
w,,46.0
w,,22.0
w,0.0,6.0
w,,53.0
w,,45.0
m,,51.0
w,,23.0
m,,49.0
w,,51.0
m,0.0,61.0
m,,40.0
m,,55.0
w,,70.0
m,0.0,73.0
m,,
m,,26.0
m,0.0,53.0
w,1.0,21.0
w,,28.0
w,0.0,50.0
w,0.0,38.0
m,0.0,26.0
w,,26.0
m,1.0,33.0
m,1.0,21.0
w,1.0,19.0
w,1.0,22.0
w,1.0,24.0
m,0.0,57.0
m,0.0,21.0
m,,12.0
m,0.0,23.0
m,0.0,45.0
m,0.0,32.0
w,0.0,1.0
m,,
m,0.0,34.0
w,0.0,14.0
m,0.0,17.0
w,0.0,3.0
w,0.0,33.0
m,,25.0
w,,20.0
w,,17.0
w,0.0,10.0
w,0.0,34.0
w,0.0,41.0
w,,19.0
w,0.0,18.0
w,,20.0
m,,7.0
m,0.0,3.0
w,0.0,8.0
w,,3.0
w,0.0,3.0
w,0.0,19.0
m,0.0,10.0
w,0.0,4.0
m,0.0,25.0
w,0.0,4.0
w,0.0,17.0
w,,8.0
m,,5.0
m,,17.0
m,,20.0
m,0.0,53.0
m,0.0,6.0
w,0.0,22.0
w,0.0,70.0
w,0.0,14.0
m,0.0,52.0
w,0.0,49.0
w,0.0,13.0
w,0.0,19.0
w,0.0,53.0
w,0.0,6.0
w,,23.0
m,,16.0
m,,26.0
w,0.0,1.0
m,0.0,7.0
w,,
w,,14.0
m,,28.0
m,,20.0
m,,21.0
m,,24.0
m,0.0,2.0
w,,19.0
m,,23.0
m,,24.0
m,,29.0
m,0.0,
m,0.0,29.0
m,0.0,36.0
m,0.0,1.0
w,0.0,60.0
w,0.0,34.0
w,0.0,52.0
w,0.0,60.0
m,0.0,24.0
m,0.0,7.0
m,0.0,
m,0.0,36.0
m,0.0,12.0
m,0.0,16.0
m,0.0,4.0
m,0.0,20.0
m,0.0,18.0
m,0.0,16.0
m,0.0,3.0
m,,26.0
w,,44.0
w,,20.0
w,0.0,32.0
w,0.0,47.0
w,0.0,5.0
m,0.0,61.0
m,,34.0
m,,12.0
m,0.0,47.0
w,0.0,26.0
w,0.0,21.0
w,0.0,31.0
w,0.0,39.0
w,0.0,2.0
w,0.0,63.0
w,0.0,43.0
w,0.0,35.0
w,0.0,33.0
w,0.0,27.0
w,0.0,7.0
w,0.0,5.0
w,,42.0
w,,42.0
w,0.0,32.0
w,,9.0
w,0.0,5.0
w,,11.0
m,0.0,66.0
w,0.0,13.0
w,0.0,7.0
w,0.0,8.0
w,,21.0
w,0.0,49.0
m,0.0,42.0
w,,27.0
w,0.0,9.0
m,0.0,17.0
w,0.0,14.0
w,,25.0
w,0.0,6.0
w,0.0,6.0
w,0.0,1.0
m,,21.0
m,,2.0
m,0.0,25.0
m,0.0,34.0
m,0.0,11.0
m,0.0,17.0
m,0.0,70.0
m,0.0,29.0
m,,33.0
m,0.0,54.0
m,0.0,3.0
w,0.0,10.0
w,,39.0
w,0.0,15.0
w,0.0,17.0
w,0.0,22.0
w,0.0,79.0
w,0.0,43.0
w,0.0,33.0
w,0.0,2.0
w,0.0,70.0
w,,11.0
w,,2.0
w,,2.0
m,,36.0
m,,25.0
m,0.0,3.0
m,,13.0
m,,7.0
m,0.0,2.0
m,0.0,57.0
m,,36.0
w,1.0,24.0
w,,57.0
w,,25.0
w,,59.0
m,,61.0
w,,39.0
m,0.0,59.0
m,0.0,38.0
m,1.0,32.0
m,0.0,50.0
m,,16.0
m,1.0,62.0
w,,58.0
m,,72.0
w,,48.0
m,,71.0
m,0.0,7.0
w,,15.0
w,0.0,41.0
w,,61.0
m,1.0,21.0
w,,53.0
w,,56.0
w,,45.0
w,,13.0
m,,58.0
m,,67.0
w,,34.0
w,,60.0
m,,30.0
m,,22.0
w,,50.0
m,,45.0
m,,30.0
m,,60.0
m,,31.0
m,,48.0
w,,41.0
w,,70.0
m,,54.0
m,,51.0
m,0.0,36.0
m,0.0,53.0
m,,53.0
m,,65.0
w,,69.0
m,,72.0
m,0.0,54.0
w,,57.0
m,0.0,22.0
w,,61.0
w,0.0,47.0
w,,27.0
m,,58.0
m,1.0,24.0
w,,50.0
m,0.0,49.0
w,,63.0
m,0.0,41.0
m,0.0,21.0
m,0.0,35.0
w,,50.0
w,1.0,26.0
m,,56.0
w,,64.0
m,,20.0
m,0.0,51.0
w,,50.0
w,,52.0
m,0.0,56.0
m,,26.0
w,,25.0
m,,40.0
m,,39.0
m,0.0,47.0
m,0.0,49.0
w,0.0,20.0
w,0.0,11.0
w,,72.0
w,,38.0
m,,7.0
w,,43.0
w,,51.0
m,,42.0
w,,36.0
w,,52.0
m,0.0,46.0
w,,
m,0.0,38.0
w,,19.0
w,,35.0
m,1.0,32.0
m,,51.0
m,,22.0
w,,64.0
w,,
w,,68.0
w,1.0,17.0
w,,59.0
w,,57.0
m,0.0,51.0
m,,61.0
m,0.0,59.0
w,,61.0
